Unnamed: 0,restaurant_name,restaurant_url,restaurant_tag,restaurant_neighborhood,restaurant_address,ratings,review_number,price
1,Tryzub Ukrainian Kitchen,https://www.yelp.com/biz/tryzub-ukrainian-kitchen-chicago?sort_by=date_desc,"Ukrainian,Breakfast & Brunch,Venues & Event Spaces,",b/t Oakley Blvd & Leavitt St,"2201 W Chicago Ave,Chicago, IL 60622,",4.5 star rating,191,$$
1,Milly’s Pizza In The Pan,https://www.yelp.com/biz/milly-s-pizza-in-the-pan-chicago?sort_by=date_desc,"Pizza,",at Bloomingdale Ave,"1801 N Spaulding Ave,Envision Unlimited Westtown Center,",5 star rating,21,
1,Greek Islands Restaurant,https://www.yelp.com/biz/greek-islands-restaurant-chicago?sort_by=date_desc,"Greek,Mediterranean,",b/t Adams St & Quincy St,"200 S Halsted St,Chicago, IL 60661,",4 star rating,1871,$$
1,Porto,https://www.yelp.com/biz/porto-chicago?sort_by=date_desc,"Portuguese,Wine Bars,Seafood,",b/t Ashland Ave & Marshfield Ave,"1600 W Chicago Ave,Chicago, IL 60622,",3.5 star rating,59,
1,Xi'an Dynasty Cuisine,https://www.yelp.com/biz/xian-dynasty-cuisine-chicago?sort_by=date_desc,"Chinese,",b/t Belden Ave & Geneva Ter,"2218 N Lincoln Ave,Chicago, IL 60614,",4.5 star rating,84,$$
1,Dos Urban Cantina,https://www.yelp.com/biz/dos-urban-cantina-chicago?sort_by=date_desc,"Mexican,Cocktail Bars,",at Mozart St,"2829 W Armitage Ave,Chicago, IL 60647,",4.5 star rating,369,$$
1,Hops & Curds,https://www.yelp.com/biz/hops-and-curds-chicago-2?sort_by=date_desc,"Comfort Food,American (New),Cocktail Bars,",b/t Montana St & Altgeld St,"2470 N Lincoln Ave,Chicago, IL 60614,",5 star rating,16,
1,The Dawson,https://www.yelp.com/biz/the-dawson-chicago?sort_by=date_desc,"American (Traditional),Cocktail Bars,Salad,","River West, Noble Square, Near West Side, West Town","730 W Grand Ave,Chicago, IL 60654,",4 star rating,906,$$
1,Same Same,https://www.yelp.com/biz/same-same-chicago?sort_by=date_desc,"Thai,Cocktail Bars,",b/t Damen Ave & Seeley Ave,"2022 W Roscoe St,Chicago, IL 60618,",4.5 star rating,118,$$
1,Caribella,https://www.yelp.com/biz/caribella-chicago-2?sort_by=date_desc,"Breakfast & Brunch,Coffee & Tea,Cafes,",b/t Kimball Ave & Spaulding Ave,"3311 W Fullerton Ave,Chicago, IL 60647,",4.5 star rating,120,$$
1,Velvet Taco Gold Coast,https://www.yelp.com/biz/velvet-taco-gold-coast-chicago?sort_by=date_desc,"American (New),Tacos,Vegetarian,",b/t Cedar St & Rush St,"1110 N State St,Chicago, IL 60610,",4 star rating,1524,$$
1,Six06 Cafe Bar,https://www.yelp.com/biz/six06-cafe-bar-chicago?sort_by=date_desc,"Greek,Bars,Coffee & Tea,",b/t Paulina St & Marshfield Ave,"1641 W Chicago Ave,Chicago, IL 60622,",4.5 star rating,106,$$
1,The Spice Room,https://www.yelp.com/biz/the-spice-room-chicago?sort_by=date_desc,"Indian,",b/t Richmond St & Francisco Ave,"2906 W Armitage Ave,Chicago, IL 60647,",4 star rating,303,$$
1,Silli Kori,https://www.yelp.com/biz/silli-kori-chicago?sort_by=date_desc,"Thai,Asian Fusion,",b/t Damen Ave & Hoyne Ave,"2053 W Division St,Chicago, IL 60622,",4.5 star rating,270,$$
1,Wake ‘n Bacon,https://www.yelp.com/biz/wake-n-bacon-chicago?sort_by=date_desc,"Breakfast & Brunch,Coffee & Tea,Comfort Food,",at Sheridan Rd,"420 W Belmont Ave,Chicago, IL 60657,",5 star rating,27,
1,Mindy's Hot Chocolate,https://www.yelp.com/biz/mindys-hot-chocolate-chicago-2?sort_by=date_desc,"American (Traditional),Desserts,",b/t Willow St & St Paul Ave,"1747 N Damen Ave,Chicago, IL 60647,",4 star rating,2417,$$
1,Feed,https://www.yelp.com/biz/feed-chicago?sort_by=date_desc,"Southern,Breakfast & Brunch,Diners,",b/t Mozart St & California Ave,"2803 W Chicago Ave,Chicago, IL 60622,",4 star rating,618,$
1,Fatso's Last Stand,https://www.yelp.com/biz/fatsos-last-stand-chicago-2?sort_by=date_desc,"Hot Dogs,Burgers,Fast Food,Fast Food Chicago,",b/t Oakley Blvd & Leavitt St,"2258 W Chicago Ave,Chicago, IL 60622,",4 star rating,831,$$
1,Crisp,https://www.yelp.com/biz/crisp-chicago?sort_by=date_desc,"Korean,Chicken Wings,Chicken Wings Chicago,",b/t Oakdale Ave & Wellington Ave,"2940 N Broadway Ave,Chicago, IL 60657,",4.5 star rating,3224,$$
1,Portillo's Hot Dogs,https://www.yelp.com/biz/portillos-hot-dogs-chicago-4?sort_by=date_desc,"Hot Dogs,Salad,Burgers,Fast Food Chicago,","River North, Near North Side","100 W Ontario,Chicago, IL 60654,",4 star rating,5640,$
1,Smoke Daddy,https://www.yelp.com/biz/smoke-daddy-chicago?sort_by=date_desc,"Barbeque,Music Venues,",b/t Wood St & Honore St,"1804 W Division St,Chicago, IL 60622,",4 star rating,1277,$$
1,The Bongo Room,https://www.yelp.com/biz/the-bongo-room-chicago?sort_by=date_desc,"American (New),Breakfast & Brunch,",b/t Evergreen Ave & Honore St,"1470 N Milwaukee Ave,Chicago, IL 60622,",4 star rating,1602,$$
1,Soulé,https://www.yelp.com/biz/soul%C3%A9-chicago-2?sort_by=date_desc,"Cajun/Creole,Soul Food,",b/t Damen Ave & Wolcott Ave,"1931 W Chicago Ave,Chicago, IL 60622,",4 star rating,337,$$
1,Cat-Su Sando,https://www.yelp.com/biz/cat-su-sando-chicago-3?sort_by=date_desc,"Sandwiches,Japanese,Coffee & Tea,",b/t Fairfield Ave & California Ave,"2759 W Augusta Blvd,Chicago, IL 60622,",4 star rating,16,
1,Lawn Restaurant - Hamburger,https://www.yelp.com/biz/lawn-restaurant-hamburger-chicago?sort_by=date_desc,"Cheesesteaks,Burgers,Waffles,",b/t Division St & Haddon Ave,"1141 N Ashland Ave,Chicago, IL 60622,",5 star rating,41,
1,Bungalow by Middle Brow,https://www.yelp.com/biz/bungalow-by-middle-brow-chicago?sort_by=date_desc,"Beer Bar,Pizza,Bakeries,",b/t Francisco Ave & Mozart St,"2840 W Armitage Ave,Chicago, IL 60647,",4 star rating,123,$$
1,Testaccio,https://www.yelp.com/biz/testaccio-chicago?sort_by=date_desc,"Italian,Mediterranean,",b/t Fullerton Ave & Altgeld St,"2456 N California Ave,Chicago, IL 60647,",5 star rating,28,
1,Cindy's,https://www.yelp.com/biz/cindys-chicago?sort_by=date_desc,"American (New),Seafood,Breakfast & Brunch,",b/t Madison St & Monroe St,"12 S Michigan Ave,Chicago, IL 60603,",4 star rating,1736,$$
1,Bonchon Division St,https://www.yelp.com/biz/bonchon-division-st-chicago-2?sort_by=date_desc,"Korean,Chicken Shop,Asian Fusion,Chicken Wings Chicago,",b/t Wood St & Hermitage Ave,"1732 W Division St,Chicago, IL 60622,",4 star rating,114,$$
1,The Loyalist,https://www.yelp.com/biz/the-loyalist-chicago-3?sort_by=date_desc,"American (New),Cocktail Bars,Venues & Event Spaces,",b/t Randolph St & Lake St,"177 N Ada St,Ste 001,",4 star rating,370,$$
1,Eat Me Milk Me,https://www.yelp.com/biz/eat-me-milk-me-chicago-6?sort_by=date_desc,"Coffee & Tea,Bubble Tea,Themed Cafes,",b/t May St & Aberdeen St,"1111 W Randolph St,Chicago, IL 60607,",4.5 star rating,84,$
1,Irazú Costa Rican Restaurant & Catering,https://www.yelp.com/biz/iraz%C3%BA-costa-rican-restaurant-and-catering-chicago-7?sort_by=date_desc,"Latin American,Venues & Event Spaces,Empanadas,",b/t Moffat St & Western Ave,"1865 N Milwaukee Ave,Chicago, IL 60647,",4 star rating,2190,$$
1,"Table, Donkey and Stick",https://www.yelp.com/biz/table-donkey-and-stick-chicago?sort_by=date_desc,"Modern European,Wine Bars,Cocktail Bars,",b/t Washtenaw Ave & Fairfield Ave,"2728 W Armitage Ave,Chicago, IL 60647,",4 star rating,437,$$
1,Honey Butter Fried Chicken,https://www.yelp.com/biz/honey-butter-fried-chicken-chicago?sort_by=date_desc,"Chicken Shop,Fast Food,Breakfast & Brunch,Fast Food Chicago,",b/t Sacramento Ave & School St,"3361 N Elston Ave,Chicago, IL 60618,",4 star rating,1993,$$
1,Taxim,https://www.yelp.com/biz/taxim-chicago?sort_by=date_desc,"Greek,Mediterranean,Wine Bars,",b/t Damen Ave & North Ave,"1558 N Milwaukee Ave,Chicago, IL 60622,",4 star rating,504,$$$
1,Humboldt Haus Sandwich Bar,https://www.yelp.com/biz/humboldt-haus-sandwich-bar-chicago-2?sort_by=date_desc,"Sandwiches,Sports Bars,",b/t Richmond St & Humboldt Blvd,"2958 W North Ave,Chicago, IL 60647,",4.5 star rating,206,$
1,Bourbon On Division,https://www.yelp.com/biz/bourbon-on-division-chicago?sort_by=date_desc,"Southern,Whiskey Bars,",b/t Damen Ave & Hoyne Ave,"2050 W Division St,Chicago, IL 60622,",4 star rating,48,$$
1,Nomonomo Japanese Pub & Grill,https://www.yelp.com/biz/nomonomo-japanese-pub-and-grill-chicago?sort_by=date_desc,"Japanese,",b/t Francis Pl & Maplewood Ave,"2115 N Milwaukee Ave,Chicago, IL 60647,",4 star rating,10,
1,Ipsento 606,https://www.yelp.com/biz/ipsento-606-chicago?sort_by=date_desc,"Coffee & Tea,Sandwiches,",b/t Oakley Ave & Moffat St,"1813 N Milwaukee Ave,Chicago, IL 60647,",4 star rating,274,$$
1,RAMEN-SAN,https://www.yelp.com/biz/ramen-san-chicago?sort_by=date_desc,"Ramen,",Near North Side,"59 W Hubbard St,Chicago, IL 60654,",4 star rating,2309,$$
1,The Picky Vegan,https://www.yelp.com/biz/the-picky-vegan-chicago?sort_by=date_desc,"Food Delivery Services,Vegan,",b/t Locust St & Chicago Ave,"825 N Sedgwick St,Chicago, IL 60610,",5 star rating,2,
1,En Hakkore,https://www.yelp.com/biz/en-hakkore-chicago-10?sort_by=date_desc,"Korean,Tacos,",b/t Churchill St & Moffat St,"1840 N Damen Ave,Chicago, IL 60647,",4.5 star rating,716,$$
1,Gotham Bagels,https://www.yelp.com/biz/gotham-bagels-chicago-2?sort_by=date_desc,"Bagels,Sandwiches,Breakfast & Brunch,",b/t Lakewood Ave & Diversey Pky,"2801 N Lincoln Ave,Unit b,",5 star rating,4,
1,Summer House Santa Monica,https://www.yelp.com/biz/summer-house-santa-monica-chicago-4?sort_by=date_desc,"American (Traditional),",b/t Armitage Ave & Wisconsin St,"1954 N Halsted St,Chicago, IL 60614,",4 star rating,2417,$$
1,The Royal Grocer & Co,https://www.yelp.com/biz/the-royal-grocer-and-co-chicago?sort_by=date_desc,"American (New),Breakfast & Brunch,Beer Gardens,",b/t Charleston St & Shakespeare Ave,"2118 N Damen Ave,Chicago, IL 60647,",4 star rating,120,$$
1,Piece Brewery and Pizzeria,https://www.yelp.com/biz/piece-brewery-and-pizzeria-chicago?sort_by=date_desc,"Pizza,Breweries,",b/t Winchester Ave & Elk Grove Ave,"1927 W North Ave,Chicago, IL 60622,",4 star rating,3563,$$
1,Chengdu Aroma,https://www.yelp.com/biz/chengdu-aroma-chicago?sort_by=date_desc,"Szechuan,Hot Pot,",b/t School St & Aldine Ave,"3227 N Clark St,Chicago, IL 60657,",4.5 star rating,74,$$
1,The Boil Cajun Seafood,https://www.yelp.com/biz/the-boil-cajun-seafood-chicago?sort_by=date_desc,"Cajun/Creole,Seafood,",b/t Wood St & Honore St,"1805 W Division St,Chicago, IL 60622,",4 star rating,51,
1,Goose Island Shrimp House Chicago,https://www.yelp.com/biz/goose-island-shrimp-house-chicago-chicago?sort_by=date_desc,"Seafood,Fast Food,",Goose Island,"1011 W Division St,Chicago, IL 60642,",4 star rating,216,$
1,The Moonlighter,https://www.yelp.com/biz/the-moonlighter-chicago?sort_by=date_desc,"Burgers,Beer Bar,Sports Bars,",b/t Kedzie Ave & Sawyer Ave,"3204 W Armitage Ave,Chicago, IL 60647,",4 star rating,180,$$
1,Mini Mott,https://www.yelp.com/biz/mini-mott-chicago-2?sort_by=date_desc,"Burgers,Chicken Wings,Chicken Wings Chicago,",Logan Square,"3057 W Logan Blvd,Chicago, IL 60647,",4 star rating,208,$$
1,Happy Camper - Old Town,https://www.yelp.com/biz/happy-camper-old-town-chicago?sort_by=date_desc,"Pizza,Breakfast & Brunch,Cocktail Bars,",b/t Division St & Scott St,"1209 N Wells St,Chicago, IL 60610,",4 star rating,632,$$
1,The StopAlong,https://www.yelp.com/biz/the-stopalong-chicago?sort_by=date_desc,"Pizza,Burgers,Salad,",b/t Oakley Ave & Moffat St,"1812 N Milwaukee Ave,Chicago, IL 60647,",4.5 star rating,213,$$
1,Handlebar,https://www.yelp.com/biz/handlebar-chicago?sort_by=date_desc,"Vegetarian,Bars,Vegan,",b/t Claremont Ave & Oakley Blvd,"2311 W North Ave,Chicago, IL 60647,",4 star rating,1497,$$
1,Sea & Olive,https://www.yelp.com/biz/sea-and-olive-chicago?sort_by=date_desc,"Mediterranean,Greek,Cocktail Bars,",b/t Damen Ave & Winchester Ave,"1938 W Division St,Chicago, IL 60622,",4 star rating,59,
1,Cinnaholic,https://www.yelp.com/biz/cinnaholic-chicago-3?sort_by=date_desc,"Bakeries,Desserts,Vegan,",b/t Paulina St & Mautene Ct,"1295 N Milwaukee Ave,Chicago, IL 60622,",4.5 star rating,7,
1,Girl & The Goat,https://www.yelp.com/biz/girl-and-the-goat-chicago?sort_by=date_desc,"American (New),Bakeries,Coffee & Tea,",b/t Green St & Halsted St,"809 W Randolph St,Chicago, IL 60607,",4.5 star rating,8715,$$$
1,KFire,https://www.yelp.com/biz/kfire-chicago?sort_by=date_desc,"Korean,Barbeque,Salad,",at Sacramento Ave,"2528 N Milwaukee Ave,Chicago, IL 60647,",5 star rating,64,
1,En Hakkore 2.0,https://www.yelp.com/biz/en-hakkore-2-0-chicago-15?sort_by=date_desc,"Asian Fusion,Poke,Sushi Bars,",b/t Evergreen Ave & Honore St,"1467 N Milwaukee Ave,Chicago, IL 60622,",4.5 star rating,470,$$
1,Gaijin,https://www.yelp.com/biz/gaijin-chicago?sort_by=date_desc,"Japanese,",b/t Sangamon St & Morgan St,"950 W Lake St,Chicago, IL 60607,",4.5 star rating,190,$$
1,All Together Now,https://www.yelp.com/biz/all-together-now-chicago?sort_by=date_desc,"Specialty Food,American (New),Beer, Wine & Spirits,",b/t Leavitt St & Hoyne Ave,"2119 West Chicago Ave,Chicago, IL 60622,",4.5 star rating,73,$$
1,Daisies,https://www.yelp.com/biz/daisies-chicago?sort_by=date_desc,"Pasta Shops,American (New),Cocktail Bars,",at Sacramento Ave,"2523 N Milwaukee Ave,Chicago, IL 60647,",4.5 star rating,277,$$
1,Landbirds,https://www.yelp.com/biz/landbirds-chicago?sort_by=date_desc,"Chicken Wings,Asian Fusion,Chicken Wings Chicago,",b/t Logan Blvd & Altgeld St,"2532 N California Ave,Chicago, IL 60647,",4.5 star rating,301,$$
1,Takorea Cocina,https://www.yelp.com/biz/takorea-cocina-chicago-2?sort_by=date_desc,"Korean,Tacos,",b/t Cortez St & Augusta Blvd,"1022 N Western,Chicago, IL 60622,",4.5 star rating,130,$
1,"The Parlor ""Grand Speakeasy""",https://www.yelp.com/biz/the-parlor-grand-speakeasy-chicago-2?sort_by=date_desc,"Cocktail Bars,Wine Bars,American (New),Wine Bars Chicago,",Bucktown,"1952 1/2 N Damen Ave,Chicago, IL 60647,",4.5 star rating,23,
1,Pub Royale,https://www.yelp.com/biz/pub-royale-chicago?sort_by=date_desc,"Pubs,British,Indian,",b/t Damen Ave & Hoyne Ave,"2049 W Division,Chicago, IL 60622,",4 star rating,423,$$
1,Cheba Hut Toasted Subs - Wicker Park,https://www.yelp.com/biz/cheba-hut-toasted-subs-wicker-park-chicago?sort_by=date_desc,"Sandwiches,American (Traditional),Beer Bar,",b/t Damen Ave & Winchester Ave,"1948 W Division St,Chicago, IL 60622,",4.5 star rating,22,
1,Longman & Eagle,https://www.yelp.com/biz/longman-and-eagle-chicago?sort_by=date_desc,"Gastropubs,Whiskey Bars,",b/t Milwaukee Ave & Schubert Ave,"2657 N Kedzie Ave,Chicago, IL 60647,",4 star rating,2410,$$
1,Maple & Ash,https://www.yelp.com/biz/maple-and-ash-chicago?sort_by=date_desc,"Steakhouses,Seafood,Breakfast & Brunch,",b/t Dearborn St & State St,"8 W Maple St,Chicago, IL 60610,",4.5 star rating,1492,$$$$
1,Boeufhaus,https://www.yelp.com/biz/boeufhaus-chicago?sort_by=date_desc,"Brasseries,Cocktail Bars,Steakhouses,Steak House Chicago,",b/t Cortez St & Augusta Blvd,"1012 N Western Ave,Chicago, IL 60622,",4.5 star rating,373,$$$
1,Lucy's,https://www.yelp.com/biz/lucys-chicago?sort_by=date_desc,"American (Traditional),",b/t Thomas St & Cortez St,"1043 N California Ave,Chicago, IL 60622,",4 star rating,180,$$
1,Beatnik West Town,https://www.yelp.com/biz/beatnik-west-town-chicago?sort_by=date_desc,"Breakfast & Brunch,Middle Eastern,Cocktail Bars,",b/t Ashland Ave & Marshfield Ave,"1604 W Chicago Ave,Chicago, IL 60622,",4 star rating,556,$$
1,Kasama,https://www.yelp.com/biz/kasama-chicago?sort_by=date_desc,"Filipino,Bakeries,American (New),",b/t Thomas St & Augusta Blvd,"1001 N Winchester Ave,Chicago, IL 60622,",4.5 star rating,59,
1,Phodega,https://www.yelp.com/biz/phodega-chicago?sort_by=date_desc,"Vietnamese,Hainan,Noodles,",b/t Pierce Ave & North Ave,"1547 N Ashland Ave,Chicago, IL 60622,",4.5 star rating,99,$$
1,Split-Rail,https://www.yelp.com/biz/split-rail-chicago?sort_by=date_desc,"American (Traditional),Cocktail Bars,Chicken Wings,Chicken Wings Chicago,",b/t Campbell Ave & Maplewood Ave,"2500 W Chicago Ave,Chicago, IL 60622,",4.5 star rating,202,$$
1,Cafe Istanbul,https://www.yelp.com/biz/cafe-istanbul-chicago-4?sort_by=date_desc,"Turkish,Mediterranean,",b/t Damen Ave & Hoyne Ave,"2014 W Division St,Chicago, IL 60622,",4.5 star rating,169,$$
1,Antico,https://www.yelp.com/biz/antico-chicago?sort_by=date_desc,"Italian,",b/t Homer St & Armitage Ave,"1946 N Leavitt St,Chicago, IL 60647,",4.5 star rating,225,$$$
1,Mama Delia,https://www.yelp.com/biz/mama-delia-chicago-2?sort_by=date_desc,"Spanish,",b/t Paulina St & Hermitage Ave,"1721 W Division St,Chicago, IL 60622,",3.5 star rating,53,
1,The Purple Pig,https://www.yelp.com/biz/the-purple-pig-chicago?sort_by=date_desc,"Tapas/Small Plates,Mediterranean,Breakfast & Brunch,",b/t Hubbard St & Illinois St,"444 N Michigan Ave,Chicago, IL 60611,",4 star rating,7226,$$
1,Andros Taverna,https://www.yelp.com/biz/andros-taverna-chicago-2?sort_by=date_desc,"Greek,Mediterranean,Seafood,",at Sacramento Ave,"2542 N Milwaukee,Chicago, IL 60647,",4.5 star rating,12,
1,JJ Thai Street Food,https://www.yelp.com/biz/jj-thai-street-food-chicago?sort_by=date_desc,"Thai,",b/t Hermitage Ave & Paulina St,"1715 W Chicago Ave,Chicago, IL 60622,",4.5 star rating,376,$$
1,Pequod's Pizzeria,https://www.yelp.com/biz/pequods-pizzeria-chicago?sort_by=date_desc,"Pizza,",b/t Webster Ave & Greenview Ave,"2207 N Clybourn Ave,Chicago, IL 60614,",4 star rating,6329,
1,90 Miles Cuban Café,https://www.yelp.com/biz/90-miles-cuban-caf%C3%A9-chicago-5?sort_by=date_desc,"Cuban,Sandwiches,Cafes,",b/t Rockwell St & Stave St,"2540 W Armitage Ave,Chicago, IL 60647,",4 star rating,2088,$$
1,Little Goat Diner,https://www.yelp.com/biz/little-goat-diner-chicago-5?sort_by=date_desc,"Diners,",b/t Green St & Halsted St,"820 W Randolph St,Chicago, IL 60607,",4 star rating,4610,$$
1,The Clampdown,https://www.yelp.com/biz/the-clampdown-chicago-2?sort_by=date_desc,"American (Traditional),Cheesesteaks,Burgers,",b/t Wood St & Hermitage Ave,"1742 W Division St,Chicago, IL 60622,",4.5 star rating,4,
1,Tortello,https://www.yelp.com/biz/tortello-chicago?sort_by=date_desc,"Pasta Shops,Italian,",b/t Wood St & Hermitage Ave,"1746 W Division St,Chicago, IL 60622,",4.5 star rating,195,$$
1,SoJu BBQ,https://www.yelp.com/biz/soju-bbq-chicago?sort_by=date_desc,"Korean,Asian Fusion,Chicken Wings,",b/t Ogden Ave & Washington Blvd,"36 S Ashland,Chicago, IL 60607,",4.5 star rating,127,$$
1,Small Cheval,https://www.yelp.com/biz/small-cheval-chicago-2?sort_by=date_desc,"Burgers,American (Traditional),",at Wabansia Ave,"1732 N Milwaukee Ave,Chicago, IL 60647,",4.5 star rating,1168,$$
1,The Bristol,https://www.yelp.com/biz/the-bristol-chicago?sort_by=date_desc,"American (New),Breakfast & Brunch,Venues & Event Spaces,",b/t Charleston St & Shakespeare Ave,"2152 N Damen Ave,Chicago, IL 60647,",4 star rating,1159,$$
1,Taqueria Chingon,https://www.yelp.com/biz/taqueria-chingon-chicago?sort_by=date_desc,"Mexican,",b/t Lyndale St & Belden Ave,"2234 N Western Ave,Chicago, IL 60647,",4.5 star rating,29,
1,Osteria Rusticana,https://www.yelp.com/biz/osteria-rusticana-chicago-3?sort_by=date_desc,"Italian,Italian Restaurant Chicago,",b/t Damen Ave & Leavitt St,"2114 W Division St,Chicago, IL 60622,",4.5 star rating,63,$$
1,Bárbaro Taquería,https://www.yelp.com/biz/b%C3%A1rbaro-taquer%C3%ADa-chicago?sort_by=date_desc,"Mexican,Cocktail Bars,",b/t Campbell Ave & Maplewood Ave,"2525 W North Ave,Chicago, IL 60647,",4.5 star rating,69,$$
